Valor_de_rho rho_f_objetivo #llamadas_f_objetivo #llamadas_gradiente Norma_del_gradiente #iteraciones Datos_bien_clasificados Datos_mal_clasificados Precisión Tiempo_de_cómputo
0.3 0.1 29 23 1.96967e-05 11 100 0 100% 0.015417
0.3 0.2 235 201 nan 100 0 100 0% 0.310573
0.3 0.3 28 19 4.15104e-07 9 100 0 100% 0.004656
0.3 0.4 9 5 6.81868e-06 2 99 1 99% 0.001434
0.3 0.5 13 9 1.07457e-07 4 99 1 99% 0.002173
0.3 0.6 9 5 3.27831e-08 2 99 1 99% 0.001434
0.3 0.7 9 5 2.70607e-12 2 99 1 99% 0.001395
0.3 0.8 9 5 6.08286e-14 2 99 1 99% 0.001395
0.3 0.9 9 5 2.29316e-13 2 99 1 99% 0.001404
0.3 1 9 5 2.27426e-13 2 99 1 99% 0.001401
