Valor_de_rho rho_f_objetivo #llamadas_f_objetivo #llamadas_gradiente Norma_del_gradiente #iteraciones Datos_bien_clasificados Datos_mal_clasificados Precisión Tiempo_de_cómputo
0.5 0.1 4983 2492 0.000999735 2491 100 0 100% 0.739684
0.5 0.2 1729 865 0.000999369 864 100 0 100% 0.244518
0.5 0.3 1567 784 0.000999491 783 100 0 100% 0.22514
0.5 0.4 81 41 0.000986782 40 99 1 99% 0.011455
0.5 0.5 3 2 6.37699e-05 1 99 1 99% 0.000475
0.5 0.6 3 2 5.99594e-07 1 99 1 99% 0.000471
0.5 0.7 3 2 2.24286e-09 1 99 1 99% 0.000469
0.5 0.8 3 2 3.39331e-12 1 99 1 99% 0.000468
0.5 0.9 3 2 2.08845e-15 1 99 1 99% 0.000466
0.5 1 3 2 5.24649e-19 1 99 1 99% 0.000469
