Valor_de_rho rho_f_objetivo #llamadas_f_objetivo #llamadas_gradiente Norma_del_gradiente #iteraciones Datos_bien_clasificados Datos_mal_clasificados Precisión Tiempo_de_cómputo
0.3 0.1 45 31 0.000477633 15 100 0 100% 0.020816
0.3 0.2 69 43 0.000109679 21 100 0 100% 0.011726
0.3 0.3 52 33 2.57173e-06 16 100 0 100% 0.008835
0.3 0.4 42 27 3.74272e-05 13 100 0 100% 0.006883
0.3 0.5 52 33 0.000761139 16 100 0 100% 0.008944
0.3 0.6 29 19 0.000341379 9 100 0 100% 0.004788
0.3 0.7 205 201 nan 100 0 100 0% 0.308218
0.3 0.8 118 31 6.20271e-05 15 100 0 100% 0.016138
0.3 0.9 60 17 0.000556085 8 100 0 100% 0.008478
0.3 1 24 13 0.000924893 6 100 0 100% 0.003739
