Valor_de_rho rho_f_objetivo #llamadas_f_objetivo #llamadas_gradiente Norma_del_gradiente #iteraciones Datos_bien_clasificados Datos_mal_clasificados Precisión Tiempo_de_cómputo
0.5 0.1 6296 3097 0.000999892 3096 100 0 100% 0.924722
0.5 0.2 3403 1612 0.000999794 1611 100 0 100% 0.480253
0.5 0.3 2064 1015 0.000999358 1014 100 0 100% 0.292719
0.5 0.4 137 60 0.000986766 59 100 0 100% 0.018861
0.5 0.5 238 100 0.000992326 99 100 0 100% 0.032602
0.5 0.6 414 125 9.85856e-05 124 100 0 100% 0.054223
0.5 0.7 967 316 0.000975521 315 99 1 99% 0.128066
0.5 0.8 6 3 0.000853355 2 85 15 85% 0.000869
0.5 0.9 6 3 0.000113508 2 85 15 85% 0.000892
0.5 1 6 3 8.98635e-06 2 85 15 85% 0.000864
