Valor_de_rho rho_f_objetivo #llamadas_f_objetivo #llamadas_gradiente Norma_del_gradiente #iteraciones Datos_bien_clasificados Datos_mal_clasificados Precisión Tiempo_de_cómputo
0.3 0.1 82 55 0.000554659 27 69 1 98.5714% 0.026766
0.3 0.2 73 47 0.000685115 23 69 1 98.5714% 0.011034
0.3 0.3 104 67 0.0001249 33 69 1 98.5714% 0.013575
0.3 0.4 246 201 nan 100 0 70 0% 0.184705
0.3 0.5 282 201 nan 100 0 70 0% 0.187576
0.3 0.6 48 33 6.05076e-07 16 69 1 98.5714% 0.00564
0.3 0.7 52 35 0.000494407 17 69 1 98.5714% 0.006219
0.3 0.8 208 201 nan 100 0 70 0% 0.196618
0.3 0.9 219 201 nan 100 0 70 0% 0.177772
0.3 1 64 41 0.000611106 20 69 1 98.5714% 0.007339
