Valor_de_rho rho_f_objetivo #llamadas_f_objetivo #llamadas_gradiente Norma_del_gradiente #iteraciones Datos_bien_clasificados Datos_mal_clasificados Precisión Tiempo_de_cómputo
0.3 0.1 9191 4586 0.000999773 4585 68 2 97.1429% 0.917994
0.3 0.2 8458 3904 0.000992643 3903 68 2 97.1429% 0.826586
0.3 0.3 8504 3097 0.00099297 3096 68 2 97.1429% 0.797719
0.3 0.4 94764 34064 0.000998811 34063 69 1 98.5714% 8.84147
0.3 0.5 61965 22326 0.000999851 22325 69 1 98.5714% 5.8377
0.3 0.6 63433 20900 0.000999997 20899 69 1 98.5714% 5.9016
0.3 0.7 68006 21206 0.000997084 21205 69 1 98.5714% 6.21633
0.3 0.8 686 339 0.000998288 338 65 5 92.8571% 0.066864
0.3 0.9 33 17 0.000966383 16 64 6 91.4286% 0.003326
0.3 1 5 3 0.000347243 2 64 6 91.4286% 0.00053
