Valor_de_rho rho_f_objetivo #llamadas_f_objetivo #llamadas_gradiente Norma_del_gradiente #iteraciones Datos_bien_clasificados Datos_mal_clasificados Precisión Tiempo_de_cómputo
0.3 0.1 6302 3078 0.000999469 3077 96 4 96% 0.922028
0.3 0.2 5401 2001 0.000993077 2000 96 4 96% 0.717324
0.3 0.3 7645 2265 0.000982771 2264 96 4 96% 0.981708
0.3 0.4 8705 2305 0.000999347 2304 96 4 96% 1.10852
0.3 0.5 13931 3328 0.0009919 3327 96 4 96% 1.74738
0.3 0.6 6966 1567 0.000998582 1566 96 4 96% 0.86841
0.3 0.7 10600 2262 0.000994361 2261 96 4 96% 1.31506
0.3 0.8 16838 3424 0.000997731 3423 96 4 96% 2.08312
0.3 0.9 20406 3982 0.000995266 3981 96 4 96% 2.49671
0.3 1 19474 3665 0.000991066 3664 96 4 96% 2.394
