Valor_de_rho rho_f_objetivo #llamadas_f_objetivo #llamadas_gradiente Norma_del_gradiente #iteraciones Datos_bien_clasificados Datos_mal_clasificados Precisión Tiempo_de_cómputo
0.3 0.1 54 35 0.00042397 17 96 4 96% 0.025136
0.3 0.2 63 41 0.000638004 20 96 4 96% 0.01663
0.3 0.3 67 41 0.000112086 20 96 4 96% 0.010811
0.3 0.4 40 25 0.000337876 12 96 4 96% 0.006652
0.3 0.5 63 43 0.000676982 21 98 2 98% 0.010758
0.3 0.6 65 43 2.17785e-06 21 98 2 98% 0.010704
0.3 0.7 75 49 9.33607e-06 24 98 2 98% 0.012304
0.3 0.8 59 39 1.65067e-07 19 98 2 98% 0.009909
0.3 0.9 77 47 0.000655478 23 98 2 98% 0.012636
0.3 1 99 63 0.000286784 31 98 2 98% 0.01632
