Valor_de_rho rho_f_objetivo #llamadas_f_objetivo #llamadas_gradiente Norma_del_gradiente #iteraciones Datos_bien_clasificados Datos_mal_clasificados Precisión Tiempo_de_cómputo
0.3 0.1 38103 18947 0.000999988 18946 100 0 100% 5.30641
0.3 0.2 23656 10937 0.000999973 10936 100 0 100% 3.23919
0.3 0.3 21273 8765 0.000999958 8764 100 0 100% 2.85156
0.3 0.4 20389 7721 0.000999907 7720 100 0 100% 2.69796
0.3 0.5 19652 7029 0.000999931 7028 100 0 100% 2.5741
0.3 0.6 18020 6288 0.000999957 6287 100 0 100% 2.35358
0.3 0.7 13333 4986 0.000992725 4985 100 0 100% 1.75754
0.3 0.8 10821 4224 0.000999218 4223 100 0 100% 1.44767
0.3 0.9 4855 2171 0.000980811 2170 100 0 100% 0.659014
0.3 1 326 135 0.0009858 134 100 0 100% 0.043145
