Valor_de_rho rho_f_objetivo #llamadas_f_objetivo #llamadas_gradiente Norma_del_gradiente #iteraciones Datos_bien_clasificados Datos_mal_clasificados Precisión Tiempo_de_cómputo
0.3 0.1 34 25 0.000756607 12 100 0 100% 0.005934
0.3 0.2 29 21 0.000120102 10 100 0 100% 0.004979
0.3 0.3 23 19 0.000708773 9 100 0 100% 0.004186
0.3 0.4 27 19 1.95715e-05 9 100 0 100% 0.004569
0.3 0.5 37 25 3.17932e-05 12 100 0 100% 0.006155
0.3 0.6 101 41 0.000765377 20 100 0 100% 0.014963
0.3 0.7 81 33 1.50374e-05 16 100 0 100% 0.012051
0.3 0.8 47 31 3.81389e-07 15 100 0 100% 0.007844
0.3 0.9 70 43 0.000717428 21 100 0 100% 0.011303
0.3 1 111 33 1.99052e-05 16 100 0 100% 0.015444
