Valor_de_rho rho_f_objetivo #llamadas_f_objetivo #llamadas_gradiente Norma_del_gradiente #iteraciones Datos_bien_clasificados Datos_mal_clasificados Precisión Tiempo_de_cómputo
0.3 0.1 25 19 0.00057311 9 100 0 100% 0.00903
0.3 0.2 49 33 0.000755116 16 100 0 100% 0.008615
0.3 0.3 23 17 3.44558e-05 8 100 0 100% 0.004339
0.3 0.4 21 15 3.82294e-05 7 100 0 100% 0.00357
0.3 0.5 42 29 0.000801248 14 100 0 100% 0.007363
0.3 0.6 35 25 0.000860873 12 100 0 100% 0.005621
0.3 0.7 25 19 0.000478949 9 100 0 100% 0.004115
0.3 0.8 18 13 0.000435839 6 100 0 100% 0.002915
0.3 0.9 16 11 0.00015675 5 100 0 100% 0.002543
0.3 1 13 9 6.96196e-05 4 100 0 100% 0.002086
