Valor_de_rho rho_f_objetivo #llamadas_f_objetivo #llamadas_gradiente Norma_del_gradiente #iteraciones Datos_bien_clasificados Datos_mal_clasificados Precisión Tiempo_de_cómputo
0.5 0.1 3046 1502 0.000999573 1501 100 0 100% 0.459729
0.5 0.2 1679 776 0.000999856 775 100 0 100% 0.23422
0.5 0.3 1251 535 0.000998073 534 100 0 100% 0.172053
0.5 0.4 1104 426 0.000997471 425 100 0 100% 0.1483
0.5 0.5 1005 355 0.000997193 354 100 0 100% 0.137252
0.5 0.6 923 305 0.00099711 304 100 0 100% 0.121939
0.5 0.7 22 4 4.68446e-08 3 100 0 100% 0.002747
0.5 0.8 931 259 0.00099775 258 100 0 100% 0.120509
0.5 0.9 854 234 0.000998304 233 100 0 100% 0.110264
0.5 1 929 229 0.000996687 228 100 0 100% 0.117985
